"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","success","success.time","eating.times","cut.uncut"
"38","OC38","OC38.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",844618,34836,0.9385,0.0387,0.1834,0.0527,0.0082,0.002,216630,15390,456810,71010,15390,86400,216630,15390,673440,4894,69074,4894,1,441974,13,TRUE,110282,3,"uncut"
"39","OC39","OC39.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",429010,0,0.4767,0,0.0478,0.0462,0.0204,0.0381,752468,14342,4874,66274,14342,80616,752468,14342,757342,11082,5396,11082,0,132786,5,TRUE,33650,11,"uncut"
"40","OC40","OC40.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",658210,0,0.7313,0,0.0692,0.0076,0.0414,0.0097,368862,15898,409526,230890,15898,246788,368862,15898,778388,6522,229002,6522,0,465368,4,TRUE,18000,3,"uncut"
"42","OC42","OC42.4","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",652862,221182,0.7254,0.2458,0.1458,0.0087,0.0159,0.0593,683994,44286,0,NA,44286,NA,683994,44286,683994,9318,120444,9318,2,67568,1,TRUE,53526,3,"uncut"
"45","OC45","OC45.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",849314,0,0.9437,0,0.1809,0.1613,0.2243,0.1416,48708,155164,208562,64780,64780,219944,208562,64780,257270,46604,63372,63372,0,671256,13,TRUE,79566,5,"uncut"
"47","OC47","OC47.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",558068,341932,0.6201,0.3799,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,2,0,0,FALSE,NA,0,"uncut"
"48","OC48","OC48.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",860944,39056,0.9566,0.0434,0.2601,0.2878,0.0101,0.0087,89024,43472,289706,16848,16848,60320,89024,43472,378730,39552,11232,39552,2,500642,4,TRUE,55296,0,"uncut"
"49","OC49","OC49.4","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",731938,164812,0.8133,0.1831,0.2674,0.1935,0.3029,0.0085,112894,54918,64206,142950,54918,197868,112894,54918,177100,27846,135622,27846,3,397732,5,TRUE,75062,2,"uncut"
"52","OC52","OC52.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.3935,0.3504,0.0397,0.0272,68692,94300,72996,175050,94300,269350,68692,94300,141688,28588,173008,28588,0,626850,4,TRUE,131300,0,"uncut"
"54","OC54","OC54.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.4092,0.3612,0.0054,0.0933,93336,13150,18874,437436,13150,450586,93336,13150,112210,5610,129466,5610,0,871360,12,FALSE,NA,0,"uncut"
