"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","time.until.lid.exploring","times.resting","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","eating.time","eating.times","time.until.eating","lid.exploring.time","lid.exploring.times","cut.uncut"
"323","OC32","OC32.4","Osmia cornuta","Male","Control","Blue right","2x","Blue","Right",741414,158586,NA,NA,0.8238,0.1762,NA,0.4709,0.2367,0,0.0398,49100,228604,170836,707748,NA,NA,NA,NA,228604,936352,NA,NA,170836,707748,219936,7432,465464,465464,NA,2,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"333","OC33","OC33.4","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",654220,245780,NA,NA,0.7269,0.2731,NA,0.5264,0.0857,0.2078,0.0712,27242,218720,54696,261744,NA,NA,NA,NA,218720,480464,NA,NA,54696,261744,81938,179734,37744,37744,NA,1,452612,7,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"343","OC34","OC34.4","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",898036,0,NA,NA,0.9978,0,NA,0.2562,0.12,0.3427,0.1771,54542,13986,30452,176210,NA,NA,NA,NA,13986,190196,NA,NA,30452,176210,84994,8666,38996,38996,NA,0,766268,14,NA,NA,NA,0,NA,NA,1,NA,NA,NA,"uncut"
"353","OC35","OC35.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",644760,232150,NA,NA,0.7164,0.2579,NA,0.1651,0.1451,0.0899,0.1133,384442,54540,44346,189086,NA,NA,NA,NA,54540,243626,NA,NA,384442,54540,428788,43762,9096,43762,NA,3,485370,5,NA,NA,NA,1,33584,NA,3,NA,NA,NA,"uncut"
"373","OC37","OC37.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",467256,432744,NA,NA,0.5192,0.4808,NA,0.4854,0.0722,0,0.136,49488,444046,214244,199418,NA,NA,NA,NA,199418,643464,NA,NA,49488,444046,263732,413662,61394,413662,NA,3,179948,2,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"383","OC38","OC38.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",844618,34836,NA,NA,0.9385,0.0387,NA,0.1834,0.0527,0.0082,0.002,216630,15390,456810,71010,NA,NA,NA,NA,15390,86400,NA,NA,216630,15390,673440,4894,69074,4894,NA,1,441974,13,NA,NA,NA,1,55141,NA,3,NA,NA,NA,"uncut"
"393","OC39","OC39.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",429010,0,NA,NA,0.4767,0,NA,0.0478,0.0462,0.0204,0.0381,752468,14342,4874,66274,NA,NA,NA,NA,14342,80616,NA,NA,752468,14342,757342,11082,5396,11082,NA,0,132786,5,NA,NA,NA,1,16825,NA,11,NA,NA,NA,"uncut"
"403","OC40","OC40.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",658210,0,NA,NA,0.7313,0,NA,0.0692,0.0076,0.0414,0.0097,368862,15898,409526,230890,NA,NA,NA,NA,15898,246788,NA,NA,368862,15898,778388,6522,229002,6522,NA,0,465368,4,NA,NA,NA,1,9000,NA,3,NA,NA,NA,"uncut"
"423","OC42","OC42.4","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",652862,221182,NA,NA,0.7254,0.2458,NA,0.1458,0.0087,0.0159,0.0593,683994,44286,0,NA,NA,NA,NA,NA,44286,NA,NA,NA,683994,44286,683994,9318,120444,9318,NA,2,67568,1,NA,NA,NA,1,26763,NA,3,NA,NA,NA,"uncut"
"453","OC45","OC45.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",849314,0,NA,NA,0.9437,0,NA,0.1809,0.1613,0.2243,0.1416,48708,155164,208562,64780,NA,NA,NA,NA,64780,219944,NA,NA,208562,64780,257270,46604,63372,63372,NA,0,671256,13,NA,NA,NA,1,39783,NA,5,NA,NA,NA,"uncut"
"473","OC47","OC47.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",558068,341932,NA,NA,0.6201,0.3799,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,2,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"483","OC48","OC48.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",860944,39056,NA,NA,0.9566,0.0434,NA,0.2601,0.2878,0.0101,0.0087,89024,43472,289706,16848,NA,NA,NA,NA,16848,60320,NA,NA,89024,43472,378730,39552,11232,39552,NA,2,500642,4,NA,NA,NA,1,27648,NA,0,NA,NA,NA,"uncut"
"493","OC49","OC49.4","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",731938,164812,NA,NA,0.8133,0.1831,NA,0.2674,0.1935,0.3029,0.0085,112894,54918,64206,142950,NA,NA,NA,NA,54918,197868,NA,NA,112894,54918,177100,27846,135622,27846,NA,3,397732,5,NA,NA,NA,1,37531,NA,2,NA,NA,NA,"uncut"
