"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"128","OC128","OC128.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",756448,0,0.8405,0,0.0484,0.2133,0.1169,0.1582,31328,80636,362520,456648,80636,537284,362520,456648,393848,77536,23036,23036,0,471722,6,143552,1,568100,"uncut"
"129","OC129","OC129.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",815396,0,0.906,0,0.182,0.2616,0.1236,0.0351,18016,642476,335296,135522,135522,777998,335296,135522,353312,36758,134142,134142,0,470090,7,84604,1,157586,"uncut"
"130","OC130","OC130.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",752574,35526,0.8362,0.0395,0.2689,0.1565,0.1114,0.0377,20700,65818,297776,175478,65818,241296,297776,175478,318476,50264,69442,69442,1,535770,13,111900,2,150242,"uncut"
"131","OC131","OC131.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",848016,51984,0.9422,0.0578,0.1183,0.1778,0.4802,0.1014,62316,108130,32100,138304,108130,246434,62316,108130,94416,103546,136570,103546,3,755186,32,0,0,NA,"uncut"
"132","OC132","OC132.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",865996,34004,0.9622,0.0378,0.2693,0.251,0.2657,0.1412,31038,63788,33006,72016,63788,135804,31038,63788,64044,60484,65734,60484,2,790768,17,0,0,NA,"uncut"
"133","OC133","OC133.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",820238,0,0.9114,0,0.1651,0.1561,0.1347,0.1722,207358,80014,118114,24922,24922,104936,207358,80014,325472,72898,9200,72898,0,669628,31,79762,2,86962,"uncut"
"134","OC134","OC134.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",677026,4662,0.7523,0.0052,0.1915,0.071,0.0454,0.1348,459336,174068,13840,79286,79286,253354,459336,174068,473176,93668,74888,93668,1,325552,20,218312,3,189556,"uncut"
"135","OC135","OC135.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",743348,0,0.8259,0,0.145,0.114,0.1722,0.1763,299902,75094,39816,322148,75094,397242,299902,75094,339718,71352,319636,71352,0,585788,25,156652,3,84530,"uncut"
"136","OC136","OC136.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",865506,0,0.9617,0,0.2141,0.1551,0.1626,0.1225,277770,100176,24726,192766,100176,292942,277770,100176,302496,10552,131154,10552,0,677384,33,34494,4,313036,"uncut"
"137","OC137","OC137.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",790348,9332,0.8782,0.0104,0.1749,0.0926,0.153,0.1972,267774,80680,56470,150864,80680,231544,267774,80680,324244,59432,64968,59432,1,509796,15,100320,2,639444,"uncut"
"138","OC138","OC138.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",631582,144546,0.7018,0.1606,0.1849,0.0351,0.1305,0.0977,331364,152430,156408,141714,141714,294144,331364,152430,487772,110752,125050,110752,2,436924,19,123872,2,285776,"uncut"
"140","OC140","OC140.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",841984,3304,0.9355,0.0037,0.2894,0.1748,0.1649,0.1133,152894,170794,46648,319872,170794,490666,152894,170794,199542,46640,166348,46640,1,685768,38,54712,3,177256,"uncut"
"141","OC141","OC141.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",696688,5672,0.7741,0.0063,0.4153,0.0409,0.0976,0.0516,339582,91830,7944,474222,91830,566052,339582,91830,347526,68912,84304,68912,1,459318,19,197640,1,96932,"uncut"
"142","OC142","OC142.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",683566,0,0.7595,0,0.2042,0.0868,0.1169,0.0439,143302,36166,338452,166806,36166,202972,338452,166806,481754,24884,23376,23376,0,69608,1,216434,2,176400,"uncut"
"143","OC143","OC143.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",790668,0,0.8785,0,0.2131,0.1419,0.1263,0.0815,150278,61558,229512,220336,61558,281894,229512,220336,379790,43586,213744,213744,0,613754,12,109332,1,308882,"uncut"
"144","OC144","OC144.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",799360,0,0.8882,0,0.1458,0.2079,0.1246,0.0124,4670,687874,447968,68416,68416,756290,447968,68416,452638,5744,62368,62368,0,484656,3,100640,2,83312,"uncut"
"145","OC145","OC145.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",781952,56592,0.8688,0.0629,0.3053,0.1378,0.2291,0.0605,89572,148332,146178,161740,148332,310072,146178,161740,235750,142988,160812,160812,1,591732,12,61456,1,467644,"uncut"
"146","OC146","OC146.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",812150,74750,0.9024,0.0831,0.23,0.1853,0.3292,0.1202,63236,37722,26618,153074,37722,190796,26618,153074,89854,34864,70678,70678,1,774070,19,0,0,NA,"uncut"
