"","ID","test","species","sex","experiment.type","correct.cue","speed","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","times.resting","time.until.first.quadrant","time.until.second.quadrant","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","cut.uncut"
"1","OC1","OC1.1","Osmia cornuta","Female","Treatment","","2x",861050,0,38950,38950,0.9567,0,0.0433,0.2801,0.3177,0.1669,0.124,17658,110014,13406,92758,5342,122292,13028,697440,92758,202772,325064,1022504,0,58578,89248,666452,20,"Yes",0,FALSE,TRUE,697440,"uncut"
"2","OC2","OC2.1","Osmia cornuta","Female","Treatment","","2x",156452,736136,7412,7412,0.1738,0.8179,0.0082,0,0,0.0704,0.9078,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,3,NA,NA,0,0,"Yes",0,FALSE,FALSE,NA,"uncut"
"3","OC3","OC3.1","Osmia cornuta","Female","Control","","2x",818282,81718,0,NA,0.9092,0.0908,0,0.4394,0.3078,0.1387,0.0781,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,35676,124620,741304,15,"No",0,FALSE,FALSE,NA,"uncut"
"4","OC4","OC4.1","Osmia cornuta","Female","Control","","4x",843876,0,0,NA,0.9376,0,0,0.2405,0.2819,0.3402,0.1176,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,46116,128316,762360,22,"No",0,FALSE,FALSE,NA,"uncut"
"5","OC5","OC5.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"6","OC6","OC6.1","Osmia cornuta","Female","Treatment","","2x",429250,55822,414928,370814,0.4769,0.062,0.461,0.1559,0.0346,0.0827,0.1286,50160,396846,23152,802398,2576,536446,25120,573678,396846,933292,1506970,2309368,2,387134,558270,104432,4,"Yes",2,TRUE,TRUE,802398,"uncut"
"7","OC7","OC7.1","Osmia cornuta","Female","Treatment","","2x",691996,141124,66880,66880,0.7689,0.1568,0.0743,0.1141,0.1036,0.3771,0.1117,60334,111072,47506,97360,83200,657296,0,NA,97360,208432,865728,NA,1,73056,89742,160752,3,"Yes",0,FALSE,FALSE,NA,"uncut"
"8","OC8","OC8.1","Osmia cornuta","Female","Control","","4x",411284,479852,0,NA,0.457,0.5332,0,0.1626,0.1654,0.1963,0.4391,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,8,32932,228416,62044,2,"No",0,FALSE,FALSE,NA,"uncut"
"9","OC9","OC9.1","Osmia cornuta","Female","Control","","4x",552828,347172,0,NA,0.6143,0.3857,0,0.1277,0.1466,0.1423,0.5585,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,7,763908,180132,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"10","OC10","OC10.1","Osmia cornuta","Female","Control","","4x",674104,225896,0,NA,0.749,0.251,0,0.3732,0.3836,0.1672,0.0327,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,7,38908,194716,335328,7,"No",0,FALSE,FALSE,NA,"uncut"
